gvkey,cik,quarter
009846,0000827052,2020Q1
003413,0001047862,2020Q1
004503,0000034088,2020Q1
001300,0000773840,2020Q1
002991,0000093410,2020Q1
006104,0000051434,2020Q1
003897,0000936340,2020Q1
007017,0000101778,2020Q1
009850,0000092122,2020Q1
008539,0001109357,2020Q1
008810,0000788784,2020Q1
007977,0000072903,2020Q1
001440,0000004904,2020Q1
005046,0000040533,2020Q1
003144,0000021344,2020Q1
004199,0001551182,2020Q1
005047,0000040545,2020Q1
006066,0000051143,2020Q1
008479,0000077476,2020Q1
008543,0000764180,2020Q1
008549,0001163165,2020Q1
005597,0000047111,2020Q1
006502,0000056873,2020Q1
007241,0000064803,2020Q1
007163,0000064040,2020Q1
006435,0000055785,2020Q1
010983,0000101829,2020Q1
008762,0000080424,2020Q1
002817,0000018230,2020Q1
003170,0000021665,2020Q1
003835,0000315189,2020Q1
002403,0000014272,2020Q1
002285,0000012927,2020Q1
004839,0000037996,2020Q1
001078,0000001800,2020Q1
002663,0000016732,2020Q1
029830,0001732845,2020Q1
008530,0000078003,2020Q1
003532,0000024741,2020Q1
008247,0000079879,2020Q1
007435,0000066740,2020Q1
007257,0000310158,2020Q1
007585,0000068505,2020Q1
008972,0001047122,2020Q1
028192,0000004281,2020Q1
007366,0000065984,2020Q1
005439,0000045012,2020Q1
008099,0001031296,2020Q1
010499,0000097476,2020Q1
011465,0000106640,2020Q1
006375,0000055067,2020Q1
011636,0001770450,2020Q1
011456,0000106535,2020Q1
009667,0000089800,2020Q1
003650,0000026172,2020Q1
004321,0000032604,2020Q1
009465,0000087347,2020Q1
003121,0000021076,2020Q1
005071,0000040704,2020Q1
007881,0001164727,2020Q1
010867,0000100885,2020Q1
007154,0000063908,2020Q1
006730,0000059478,2020Q1
002111,0000010795,2020Q1
002086,0000010456,2020Q1
006266,0000200406,2020Q1
005125,0000040987,2020Q1
005606,0000047217,2020Q1
011506,0000107263,2020Q1
006078,0000051253,2020Q1
007647,0000070858,2020Q1
004517,0000753308,2020Q1
003980,0001744489,2020Q1
001447,0000004962,2020Q1
003505,0000024545,2020Q1
