file,avg_tfidf_finneg,avg_tfidf_h4n,doc_length
20200102_10-Q_edgar_data_23217_0001564590-20-000127_1.txt,9.409494613030415e-08,7.40468129148494e-08,3592889
20200102_10-Q_edgar_data_940944_0000940944-20-000003_1.txt,8.685096507585619e-08,8.003279888339919e-08,1508779
20200103_10-Q_edgar_data_1679273_0001558370-20-000031_1.txt,3.8068628495209874e-08,5.446092676976907e-08,1437953
20200107_10-Q_edgar_data_1170010_0001170010-20-000002_1.txt,9.956748704258346e-08,6.202268184703237e-08,1497866
20200107_10-Q_edgar_data_320187_0000320187-20-000004_1.txt,3.130925543236435e-08,3.793531322571349e-08,1793056
20200108_10-Q_edgar_data_1618921_0001618921-20-000008_1.txt,1.471985940992076e-07,2.6432202392865294e-07,1597729
20200108_10-Q_edgar_data_16918_0000016918-20-000007_1.txt,2.7742264204816814e-08,1.5959698438669327e-06,3728465
20200109_10-Q_edgar_data_723254_0000723254-20-000003_1.txt,1.7607865759980375e-08,6.859386988539848e-08,2527404
20200117_10-K_edgar_data_1598014_0001598014-20-000008_1.txt,2.405906608674571e-07,1.763639575131531e-07,2198233
20200121_10-K_edgar_data_796343_0000796343-20-000013_1.txt,1.6921624810402475e-07,1.398166405515866e-07,3053751
20200122_10-K_edgar_data_87347_0001564590-20-001578_1.txt,7.045555097713035e-08,7.199559935036092e-08,4577810
20200123_10-Q_edgar_data_80424_0000080424-20-000017_1.txt,1.992488489841877e-07,2.600707440853093e-07,1315880
20200124_10-K_edgar_data_50863_0000050863-20-000011_1.txt,2.0854820172956004e-08,3.840481835546693e-08,32884907
20200124_10-K_edgar_data_54480_0000054480-20-000015_1.txt,1.322556842411637e-07,1.1392242833444569e-07,4199168
20200124_10-Q_edgar_data_2969_0000002969-20-000010_1.txt,1.239893903957475e-07,9.422829918995924e-08,1655165
20200124_10-Q_edgar_data_4127_0000004127-20-000007_1.txt,1.5075919024561698e-07,1.1467390643158965e-07,722696
20200127_10-K_edgar_data_920760_0001628280-20-000559_1.txt,7.340833319826535e-08,9.549710550007864e-08,5335181
20200128_10-K_edgar_data_63754_0000063754-20-000022_1.txt,1.5841261261386685e-07,1.1437005460092012e-07,2681032
20200128_10-K_edgar_data_815097_0000815097-20-000003_1.txt,1.3465891879189688e-07,1.442058705069328e-07,3026078
20200128_10-Q_edgar_data_743988_0000743988-20-000009_1.txt,1.8916522401743692e-07,1.4659172816335122e-07,1399608
20200128_10-Q_edgar_data_829224_0000829224-20-000012_1.txt,9.641246833054513e-08,7.173864856517388e-08,2060807
20200128_10-Q_edgar_data_882184_0000882184-20-000017_1.txt,4.4910562158269916e-08,6.877904136512594e-08,2100446
20200129_10-K_edgar_data_1065280_0001065280-20-000040_1.txt,1.9059105878128592e-07,1.434977664396202e-07,1337039
20200129_10-K_edgar_data_1067701_0001067701-20-000008_1.txt,1.3433339996082106e-07,9.113761044726244e-08,3331213
20200129_10-Q_edgar_data_1024478_0001024478-20-000005_1.txt,7.681078187760403e-08,6.348351338023295e-08,1009313
20200129_10-Q_edgar_data_1385157_0001558370-20-000310_1.txt,8.885480823357451e-08,5.1627331103206636e-08,2009769
20200129_10-Q_edgar_data_320193_0000320193-20-000010_1.txt,1.0214960634344494e-07,8.545897260015163e-08,1308355
20200129_10-Q_edgar_data_743316_0000743316-20-000008_1.txt,8.331445767525145e-08,7.54953595434988e-08,1427231
20200129_10-Q_edgar_data_789019_0001564590-20-002450_1.txt,8.879085930102674e-08,5.061862369280156e-08,3476805
20200129_10-Q_edgar_data_859737_0000859737-20-000007_1.txt,1.3804514104055805e-07,1.4047869255061225e-07,1524033
