file,avg_tfidf_finneg,avg_tfidf_h4n,doc_length,filing_date,cik,conml,gvkey,permno,excess_return_3d
20200102_10-Q_edgar_data_23217_0001564590-20-000127_1.txt,9.409494613030417e-08,7.40468129148494e-08,3592889,2020-01-02,23217,Conagra Brands Inc,003362,56274.0,-0.07591299487850123
20200102_10-Q_edgar_data_940944_0000940944-20-000003_1.txt,8.68509650758562e-08,8.00327988833992e-08,1508779,2020-01-02,940944,Darden Restaurants Inc,031846,81655.0,0.03770356012992537
20200103_10-Q_edgar_data_1679273_0001558370-20-000031_1.txt,3.8068628495209874e-08,5.4460926769769073e-08,1437953,2020-01-03,1679273,Lamb Weston Holdings Inc,028790,16431.0,0.07455936472307845
20200107_10-Q_edgar_data_1170010_0001170010-20-000002_1.txt,9.956748704258347e-08,6.202268184703237e-08,1497866,2020-01-07,1170010,CarMax Inc,064410,89508.0,0.03349066102801834
20200107_10-Q_edgar_data_320187_0000320187-20-000004_1.txt,3.130925543236435e-08,3.7935313225713494e-08,1793056,2020-01-07,320187,NIKE Inc,007906,57665.0,-0.008987988880113429
20200108_10-Q_edgar_data_1618921_0001618921-20-000008_1.txt,1.471985940992076e-07,2.6432202392865294e-07,1597729,2020-01-08,1618921,Walgreens Boots Alliance Inc,011264,19502.0,-0.09277310102334879
20200108_10-Q_edgar_data_16918_0000016918-20-000007_1.txt,2.774226420481681e-08,1.5959698438669327e-06,3728465,2020-01-08,16918,Constellation Brands Inc,002710,64899.0,0.019997492684844742
20200109_10-Q_edgar_data_723254_0000723254-20-000003_1.txt,1.7607865759980375e-08,6.859386988539848e-08,2527404,2020-01-09,723254,Cintas Corp,003062,23660.0,0.022104830391452834
20200117_10-K_edgar_data_1598014_0001598014-20-000008_1.txt,2.405906608674571e-07,1.763639575131531e-07,2198233,2020-01-17,1598014,IHS Markit Ltd,162906,14704.0,0.03128288721066852
20200121_10-K_edgar_data_796343_0000796343-20-000013_1.txt,1.6921624810402478e-07,1.398166405515866e-07,3053751,2020-01-21,796343,Adobe Inc,012540,75510.0,0.01707025518476224
20200122_10-K_edgar_data_87347_0001564590-20-001578_1.txt,7.045555097713035e-08,7.199559935036093e-08,4577810,2020-01-22,87347,Schlumberger Ltd,009465,14277.0,-0.06808786665514777
20200123_10-Q_edgar_data_80424_0000080424-20-000017_1.txt,1.992488489841877e-07,2.600707440853093e-07,1315880,2020-01-23,80424,Procter & Gamble Co (The),008762,18163.0,0.010359967676595194
20200124_10-K_edgar_data_50863_0000050863-20-000011_1.txt,2.0854820172956004e-08,3.840481835546693e-08,32884907,2020-01-24,50863,Intel Corp,006008,59328.0,0.06234311576661544
